Capítulo,Versículo,Texto
1.0,1.0,بسم الله الرحمن الرحيم
1.0,2.0,الحمد لله رب العالمين
1.0,3.0,الرحمن الرحيم
1.0,4.0,مالك يوم الدين
1.0,5.0,اياك نعبد واياك نستعين
1.0,6.0,اهدنا الصراط المستقيم
1.0,7.0,صراط الذين انعمت عليهم غير المغضوب عليهم ولا الضالين
2.0,1.0,بسم الله الرحمن الرحيم الم
2.0,2.0,ذلك الكتاب لا ريب ۛ فيه ۛ هدي للمتقين
2.0,3.0,الذين يؤمنون بالغيب ويقيمون الصلاه ومما رزقناهم ينفقون
2.0,4.0,والذين يؤمنون بما انزل اليك وما انزل من قبلك وبالاخره هم يوقنون
2.0,5.0,اولئك علي هدي من ربهم ۖ واولئك هم المفلحون
2.0,6.0,ان الذين كفروا سواء عليهم اانذرتهم ام لم تنذرهم لا يؤمنون
2.0,7.0,ختم الله علي قلوبهم وعلي سمعهم ۖ وعلي ابصارهم غشاوه ۖ ولهم عذاب عظيم
2.0,8.0,ومن الناس من يقول امنا بالله وباليوم الاخر وما هم بمؤمنين
2.0,9.0,يخادعون الله والذين امنوا وما يخدعون الا انفسهم وما يشعرون
2.0,10.0,في قلوبهم مرض فزادهم الله مرضا ۖ ولهم عذاب اليم بما كانوا يكذبون
2.0,11.0,واذا قيل لهم لا تفسدوا في الارض قالوا انما نحن مصلحون
2.0,12.0,الا انهم هم المفسدون ولكن لا يشعرون
2.0,13.0,واذا قيل لهم امنوا كما امن الناس قالوا انؤمن كما امن السفهاء ۗ الا انهم هم السفهاء ولكن لا يعلمون
2.0,14.0,واذا لقوا الذين امنوا قالوا امنا واذا خلوا الي شياطينهم قالوا انا معكم انما نحن مستهزئون
2.0,15.0,الله يستهزئ بهم ويمدهم في طغيانهم يعمهون
2.0,16.0,اولئك الذين اشتروا الضلاله بالهدي فما ربحت تجارتهم وما كانوا مهتدين
2.0,17.0,مثلهم كمثل الذي استوقد نارا فلما اضاءت ما حوله ذهب الله بنورهم وتركهم في ظلمات لا يبصرون
2.0,18.0,صم بكم عمي فهم لا يرجعون
2.0,19.0,او كصيب من السماء فيه ظلمات ورعد وبرق يجعلون اصابعهم في اذانهم من الصواعق حذر الموت ۚ والله محيط بالكافرين
2.0,20.0,يكاد البرق يخطف ابصارهم ۖ كلما اضاء لهم مشوا فيه واذا اظلم عليهم قاموا ۚ ولو شاء الله لذهب بسمعهم وابصارهم ۚ ان الله علي كل شيء قدير
2.0,21.0,يا ايها الناس اعبدوا ربكم الذي خلقكم والذين من قبلكم لعلكم تتقون
2.0,22.0,الذي جعل لكم الارض فراشا والسماء بناء وانزل من السماء ماء فاخرج به من الثمرات رزقا لكم ۖ فلا تجعلوا لله اندادا وانتم تعلمون
2.0,23.0,وان كنتم في ريب مما نزلنا علي عبدنا فاتوا بسوره من مثله وادعوا شهداءكم من دون الله ان كنتم صادقين
2.0,24.0,فان لم تفعلوا ولن تفعلوا فاتقوا النار التي وقودها الناس والحجاره ۖ اعدت للكافرين
2.0,25.0,وبشر الذين امنوا وعملوا الصالحات ان لهم جنات تجري من تحتها الانهار ۖ كلما رزقوا منها من ثمره رزقا ۙ قالوا هذا الذي رزقنا من قبل ۖ واتوا به متشابها ۖ ولهم فيها ازواج مطهره ۖ وهم فيها خالدون
2.0,26.0,ان الله لا يستحيي ان يضرب مثلا ما بعوضه فما فوقها ۚ فاما الذين امنوا فيعلمون انه الحق من ربهم ۖ واما الذين كفروا فيقولون ماذا اراد الله بهذا مثلا ۘ يضل به كثيرا ويهدي به كثيرا ۚ وما يضل به الا الفاسقين
2.0,27.0,الذين ينقضون عهد الله من بعد ميثاقه ويقطعون ما امر الله به ان يوصل ويفسدون في الارض ۚ اولئك هم الخاسرون
2.0,28.0,كيف تكفرون بالله وكنتم امواتا فاحياكم ۖ ثم يميتكم ثم يحييكم ثم اليه ترجعون
2.0,29.0,هو الذي خلق لكم ما في الارض جميعا ثم استوي الي السماء فسواهن سبع سماوات ۚ وهو بكل شيء عليم
2.0,30.0,واذ قال ربك للملائكه اني جاعل في الارض خليفه ۖ قالوا اتجعل فيها من يفسد فيها ويسفك الدماء ونحن نسبح بحمدك ونقدس لك ۖ قال اني اعلم ما لا تعلمون
2.0,31.0,وعلم ادم الاسماء كلها ثم عرضهم علي الملائكه فقال انبئوني باسماء هؤلاء ان كنتم صادقين
2.0,32.0,قالوا سبحانك لا علم لنا الا ما علمتنا ۖ انك انت العليم الحكيم
2.0,33.0,قال يا ادم انبئهم باسمائهم ۖ فلما انباهم باسمائهم قال الم اقل لكم اني اعلم غيب السماوات والارض واعلم ما تبدون وما كنتم تكتمون
2.0,34.0,واذ قلنا للملائكه اسجدوا لادم فسجدوا الا ابليس ابي واستكبر وكان من الكافرين
2.0,35.0,وقلنا يا ادم اسكن انت وزوجك الجنه وكلا منها رغدا حيث شئتما ولا تقربا هذه الشجره فتكونا من الظالمين
2.0,36.0,فازلهما الشيطان عنها فاخرجهما مما كانا فيه ۖ وقلنا اهبطوا بعضكم لبعض عدو ۖ ولكم في الارض مستقر ومتاع الي حين
2.0,37.0,فتلقي ادم من ربه كلمات فتاب عليه ۚ انه هو التواب الرحيم
2.0,38.0,قلنا اهبطوا منها جميعا ۖ فاما ياتينكم مني هدي فمن تبع هداي فلا خوف عليهم ولا هم يحزنون
2.0,39.0,والذين كفروا وكذبوا باياتنا اولئك اصحاب النار ۖ هم فيها خالدون
2.0,40.0,يا بني اسرائيل اذكروا نعمتي التي انعمت عليكم واوفوا بعهدي اوف بعهدكم واياي فارهبون
2.0,41.0,وامنوا بما انزلت مصدقا لما معكم ولا تكونوا اول كافر به ۖ ولا تشتروا باياتي ثمنا قليلا واياي فاتقون
2.0,42.0,ولا تلبسوا الحق بالباطل وتكتموا الحق وانتم تعلمون
